-4.3726e-03	-3.0778e-03	 1.3403e-03
-2.5027e-03	-1.9086e-03	 4.0490e-04
-1.3342e-03	-1.9083e-03	 1.8074e-03
-6.3328e-04	-1.6743e-03	 1.1058e-03
-2.9717e-03	-1.4403e-03	-7.6483e-04
-3.2060e-03	-2.1415e-03	-2.4017e-03
-2.5051e-03	-1.6737e-03	-1.2329e-03
-5.3111e-03	-2.8425e-03	 1.3386e-03
-5.7792e-03	-2.1409e-03	 1.5721e-03
-3.4417e-03	 3.0029e-03	 2.0395e-03
-1.8056e-03	 2.5355e-03	 1.6886e-04
-6.3709e-04	-1.2050e-03	 1.5714e-03
-8.7136e-04	-3.0752e-03	 1.5711e-03
-1.7044e-04	-2.8412e-03	-2.8713e-03
-6.3852e-04	-2.6072e-03	-1.2349e-03
-2.2756e-03	-4.4774e-03	-1.0014e-03
-1.3409e-03	-2.6068e-03	-1.4692e-03
-1.1075e-03	-2.6858e-04	 6.3471e-04
 8.0101e-03	-3.3077e-03	-1.2359e-03
 1.9232e-02	-7.3575e-04	-6.7179e-05
 1.3854e-02	 1.1348e-03	 3.2057e-03
 4.7355e-03	-7.3533e-04	 3.4393e-03
 7.6046e-04	-3.3722e-05	 3.4390e-03
 3.5655e-03	 2.0029e-04	 8.6701e-04
 3.0975e-03	-5.0089e-04	-1.0036e-03
-8.7755e-04	-1.2021e-03	 2.5031e-03
 9.9235e-04	-2.8384e-03	-5.3652e-04
 1.2257e-03	-1.2016e-03	-2.1733e-03
 9.9140e-04	 1.3703e-03	 1.5672e-03
-6.4566e-04	-1.9026e-03	-1.0049e-03
-2.5165e-03	-1.6686e-03	-1.9403e-03
-2.7508e-03	-1.4346e-03	 1.6363e-04
-2.5175e-03	-3.0710e-03	 1.0986e-03
-4.1377e-04	 3.2418e-03	 1.3321e-03
-1.1156e-03	-9.6637e-04	 1.6288e-04
-2.2851e-03	-4.4731e-03	-3.0496e-04
-3.2208e-03	 2.0304e-04	-7.7281e-04
-2.2860e-03	-3.0699e-03	-1.7082e-03
 2.8524e-04	-3.0330e-05	 1.3309e-03
-3.9236e-03	 4.3748e-04	 1.0968e-03
-4.3917e-03	-3.5369e-03	-1.7090e-03
-2.5218e-03	-1.1987e-03	-1.2416e-03
-4.8602e-03	 9.0571e-04	-1.2419e-03
-5.3283e-03	-1.8996e-03	-3.5801e-03
-5.3287e-03	-2.6008e-03	-4.0480e-03
-1.8568e-04	-2.6264e-04	-5.4125e-04
 1.2439e-02	 6.7276e-04	-1.2429e-03
 2.1790e-02	 3.4785e-03	-5.4175e-04
 1.7114e-02	-4.9580e-04	 2.0298e-03
