        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
       0.000  5.4298821E-03 -3.0428274E-03  4.8822288E-03  5.4330183E-03 -3.1836016E-03  4.9437597E-03 -3.1362041E-06  1.4077420E-04 -6.1530916E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00
       0.100  5.4328686E-03 -3.0500932E-03  4.8847432E-03  5.4345116E-03 -3.1872345E-03  4.9450169E-03 -1.6429315E-06  1.3714128E-04 -6.0273702E-05 -1.6429315E-07  1.3714128E-05 -6.0273702E-06
       0.200  5.4333525E-03 -3.0554939E-03  4.8858269E-03  5.4347535E-03 -3.1899348E-03  4.9455588E-03 -1.4009859E-06  1.3444092E-04 -5.9731846E-05 -3.0439174E-07  2.7158220E-05 -1.2000555E-05
       0.300  5.4287873E-03 -3.0655145E-03  4.8889054E-03  5.4324709E-03 -3.1949451E-03  4.9470980E-03 -3.6836153E-06  1.2943064E-04 -5.8192592E-05 -6.7275328E-07  4.0101285E-05 -1.7819814E-05
       0.400  5.4279576E-03 -3.0733521E-03  4.8929636E-03  5.4320561E-03 -3.1988639E-03  4.9491271E-03 -4.0984287E-06  1.2551183E-04 -5.6163498E-05 -1.0825961E-06  5.2652468E-05 -2.3436164E-05
       0.500  5.4299723E-03 -3.0838389E-03  4.8968599E-03  5.4330634E-03 -3.2041073E-03  4.9510752E-03 -3.0910871E-06  1.2026843E-04 -5.4215367E-05 -1.3917049E-06  6.4679311E-05 -2.8857701E-05
       0.600  5.4266837E-03 -3.0899172E-03  4.9004672E-03  5.4314191E-03 -3.2071465E-03  4.9528789E-03 -4.7353995E-06  1.1722928E-04 -5.2411712E-05 -1.8652448E-06  7.6402239E-05 -3.4098872E-05
       0.700  5.4281490E-03 -3.0955289E-03  4.9035318E-03  5.4321518E-03 -3.2099523E-03  4.9544112E-03 -4.0027199E-06  1.1442343E-04 -5.0879388E-05 -2.2655168E-06  8.7844581E-05 -3.9186811E-05
       0.800  5.4289575E-03 -3.1063967E-03  4.9061807E-03  5.4325560E-03 -3.2153862E-03  4.9557356E-03 -3.5984743E-06  1.0898952E-04 -4.9554974E-05 -2.6253642E-06  9.8743533E-05 -4.4142308E-05
       0.900  5.4265634E-03 -3.1152721E-03  4.9103168E-03  5.4313589E-03 -3.2198239E-03  4.9578037E-03 -4.7955437E-06  1.0455181E-04 -4.7486900E-05 -3.1049186E-06  1.0919871E-04 -4.8890998E-05
       1.000  5.4272680E-03 -3.1213922E-03  4.9130221E-03  5.4317113E-03 -3.2228840E-03  4.9591564E-03 -4.4432281E-06  1.0149176E-04 -4.6134266E-05 -3.5492414E-06  1.1934789E-04 -5.3504425E-05
       1.100  5.4266158E-03 -3.1314331E-03  4.9171513E-03  5.4313851E-03 -3.2279044E-03  4.9612209E-03 -4.7693585E-06  9.6471352E-05 -4.4069681E-05 -4.0261773E-06  1.2899503E-04 -5.7911393E-05
       1.200  5.4247975E-03 -3.1383373E-03  4.9206109E-03  5.4304760E-03 -3.2313565E-03  4.9629507E-03 -5.6784859E-06  9.3019223E-05 -4.2339867E-05 -4.5940259E-06  1.3829695E-04 -6.2145379E-05
       1.300  5.4259510E-03 -3.1483359E-03  4.9251773E-03  5.4310528E-03 -3.2363558E-03  4.9652339E-03 -5.1017233E-06  8.8019934E-05 -4.0056673E-05 -5.1041982E-06  1.4709894E-04 -6.6151047E-05
       1.400  5.4244747E-03 -3.1524633E-03  4.9269806E-03  5.4303146E-03 -3.2384195E-03  4.9661356E-03 -5.8399047E-06  8.5956238E-05 -3.9155009E-05 -5.6881887E-06  1.5569457E-04 -7.0066547E-05
       1.500  5.4253334E-03 -3.1622284E-03  4.9304615E-03  5.4307439E-03 -3.2433021E-03  4.9678761E-03 -5.4105611E-06  8.1073699E-05 -3.7414554E-05 -6.2292448E-06  1.6380194E-04 -7.3808003E-05
       1.600  5.4263628E-03 -3.1697467E-03  4.9344781E-03  5.4312586E-03 -3.2470612E-03  4.9698844E-03 -4.8958485E-06  7.7314510E-05 -3.5406240E-05 -6.7188296E-06  1.7153339E-04 -7.7348627E-05
       1.700  5.4299184E-03 -3.1773076E-03  4.9384597E-03  5.4330365E-03 -3.2508417E-03  4.9718752E-03 -3.1180299E-06  7.3534101E-05 -3.3415446E-05 -7.0306326E-06  1.7888680E-04 -8.0690172E-05
       1.800  5.4324353E-03 -3.1869452E-03  4.9399320E-03  5.4342949E-03 -3.2556605E-03  4.9726113E-03 -1.8595973E-06  6.8715292E-05 -3.2679322E-05 -7.2165923E-06  1.8575833E-04 -8.3958104E-05
