        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
       0.000  4.4557194E-03 -3.9450277E-04 -2.1823094E-03  4.4512200E-03 -4.4958600E-04 -2.2334867E-03  4.4993887E-06  5.5083230E-05  5.1177310E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00
       0.100  4.4540454E-03 -3.9769753E-04 -2.1844722E-03  4.4503830E-03 -4.5118338E-04 -2.2345681E-03  3.6624217E-06  5.3485851E-05  5.0095924E-05  3.6624217E-07  5.3485851E-06  5.0095924E-06
       0.200  4.4502142E-03 -4.0561437E-04 -2.1879062E-03  4.4484674E-03 -4.5514180E-04 -2.2362851E-03  1.7467767E-06  4.9527429E-05  4.8378928E-05  5.4091984E-07  1.0301328E-05  9.8474852E-06
       0.300  4.4502870E-03 -4.0291060E-04 -2.1937875E-03  4.4485038E-03 -4.5378992E-04 -2.2392258E-03  1.7831897E-06  5.0879314E-05  4.5438253E-05  7.1923882E-07  1.5389259E-05  1.4391310E-05
       0.400  4.4512656E-03 -4.1243673E-04 -2.1982610E-03  4.4489931E-03 -4.5855298E-04 -2.2414625E-03  2.2725028E-06  4.6116251E-05  4.3201514E-05  9.4648909E-07  2.0000884E-05  1.8711462E-05
       0.500  4.4423963E-03 -4.1284399E-04 -2.2032215E-03  4.4445585E-03 -4.5875661E-04 -2.2439428E-03 -2.1621462E-06  4.5912621E-05  4.0721240E-05  7.3027447E-07  2.4592147E-05  2.2783586E-05
       0.600  4.4448608E-03 -4.1542705E-04 -2.2062514E-03  4.4457907E-03 -4.6004814E-04 -2.2454577E-03 -9.2989723E-07  4.4621088E-05  3.9206319E-05  6.3728475E-07  2.9054255E-05  2.6704218E-05
       0.700  4.4440599E-03 -4.1522407E-04 -2.2083307E-03  4.4453903E-03 -4.5994665E-04 -2.2464974E-03 -1.3303242E-06  4.4722577E-05  3.8166671E-05  5.0425233E-07  3.3526513E-05  3.0520885E-05
       0.800  4.4394724E-03 -4.2117948E-04 -2.2120080E-03  4.4430965E-03 -4.6292436E-04 -2.2483360E-03 -3.6240752E-06  4.1744874E-05  3.6328035E-05  1.4184481E-07  3.7701000E-05  3.4153688E-05
       0.900  4.4414611E-03 -4.2676427E-04 -2.2180019E-03  4.4440908E-03 -4.6571675E-04 -2.2513330E-03 -2.6297622E-06  3.8952481E-05  3.3331052E-05 -1.2113141E-07  4.1596249E-05  3.7486794E-05
