        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
       0.000  5.6581891E-04  3.0569995E-04  2.9820000E-03  5.4507121E-04  3.0388910E-04  2.9921681E-03  2.0747702E-05  1.8108464E-06 -1.0168104E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00
       0.100  5.6252073E-04  3.0787199E-04  2.9838711E-03  5.4342212E-04  3.0497512E-04  2.9931037E-03  1.9098613E-05  2.8968695E-06 -9.2325693E-06  1.9098613E-06  2.8968695E-07 -9.2325693E-07
       0.200  5.6034191E-04  3.0751312E-04  2.9854670E-03  5.4233271E-04  3.0479569E-04  2.9939016E-03  1.8009201E-05  2.7174346E-06 -8.4345858E-06  3.7107814E-06  5.6143041E-07 -1.7667155E-06
       0.300  5.5994160E-04  3.1046165E-04  2.9857050E-03  5.4213255E-04  3.0626995E-04  2.9940206E-03  1.7809049E-05  4.1916967E-06 -8.3156118E-06  5.4916863E-06  9.8060007E-07 -2.5982767E-06
       0.400  5.5901283E-04  3.1160902E-04  2.9889872E-03  5.4166817E-04  3.0684364E-04  2.9956617E-03  1.7344660E-05  4.7653803E-06 -6.6745218E-06  7.2261523E-06  1.4571381E-06 -3.2657289E-06
       0.500  5.5640196E-04  3.1246191E-04  2.9855910E-03  5.4036273E-04  3.0727008E-04  2.9939636E-03  1.6039230E-05  5.1918299E-06 -8.3726291E-06  8.8300753E-06  1.9763211E-06 -4.1029918E-06
       0.600  5.5486336E-04  3.1059558E-04  2.9830261E-03  5.3959343E-04  3.0633692E-04  2.9926811E-03  1.5269926E-05  4.2586630E-06 -9.6550734E-06  1.0357068E-05  2.4021874E-06 -5.0684991E-06
       0.700  5.5705728E-04  3.1236613E-04  2.9813631E-03  5.4069039E-04  3.0722219E-04  2.9918497E-03  1.6366886E-05  5.1439386E-06 -1.0486540E-05  1.1993756E-05  2.9165812E-06 -6.1171531E-06
       0.800  5.5615663E-04  3.1464273E-04  2.9794957E-03  5.4024007E-04  3.0836049E-04  2.9909160E-03  1.5916562E-05  6.2822377E-06 -1.1420248E-05  1.3585413E-05  3.5448050E-06 -7.2591779E-06
       0.900  5.5406831E-04  3.1354088E-04  2.9770942E-03  5.3919591E-04  3.0780957E-04  2.9897152E-03  1.4872405E-05  5.7313143E-06 -1.2621001E-05  1.5072653E-05  4.1179364E-06 -8.5212780E-06
       1.000  5.5279325E-04  3.1442812E-04  2.9798086E-03  5.3855838E-04  3.0825319E-04  2.9910724E-03  1.4234873E-05  6.1749314E-06 -1.1263786E-05  1.6496140E-05  4.7354296E-06 -9.6476567E-06
       1.100  5.5098967E-04  3.1294920E-04  2.9822244E-03  5.3765659E-04  3.0751373E-04  2.9922803E-03  1.3333084E-05  5.4354720E-06 -1.0055896E-05  1.7829449E-05  5.2789768E-06 -1.0653246E-05
