        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
       0.000  1.8962269E-02  1.4387880E-03  7.6113096E-03  1.8932558E-02  9.8139478E-04  7.6027314E-03  2.9710286E-05  4.5739322E-04  8.5781927E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00
       0.100  1.8966434E-02  1.4153495E-03  7.6091564E-03  1.8934641E-02  9.6967552E-04  7.6016548E-03  3.1793144E-05  4.4567397E-04  7.5016030E-06  3.1793144E-06  4.4567397E-05  7.5016030E-07
       0.200  1.8964214E-02  1.3966446E-03  7.6065831E-03  1.8933531E-02  9.6032307E-04  7.6003682E-03  3.0683011E-05  4.3632151E-04  6.2149222E-06  6.2476155E-06  8.8199547E-05  1.3716525E-06
       0.300  1.8965911E-02  1.3671101E-03  7.6116738E-03  1.8934379E-02  9.4555581E-04  7.6029135E-03  3.1531494E-05  4.2155425E-04  8.7602724E-06  9.4007649E-06  1.3035497E-04  2.2476798E-06
       0.400  1.8959125E-02  1.3484505E-03  7.6117331E-03  1.8930987E-02  9.3622605E-04  7.6029432E-03  2.8138662E-05  4.1222449E-04  8.7899427E-06  1.2214631E-05  1.7157742E-04  3.1266740E-06
       0.500  1.8963146E-02  1.3184852E-03  7.6083780E-03  1.8932997E-02  9.2124339E-04  7.6012656E-03  3.0148865E-05  3.9724184E-04  7.1123839E-06  1.5229518E-05  2.1130161E-04  3.8379124E-06
       0.600  1.8950477E-02  1.2950419E-03  7.6114894E-03  1.8926662E-02  9.0952174E-04  7.6028213E-03  2.3814331E-05  3.8552018E-04  8.6681031E-06  1.7610951E-05  2.4985362E-04  4.7047227E-06
       0.700  1.8949333E-02  1.2707268E-03  7.6091502E-03  1.8926090E-02  8.9736418E-04  7.6016517E-03  2.3242293E-05  3.7336262E-04  7.4984934E-06  1.9935180E-05  2.8718989E-04  5.4545721E-06
       0.800  1.8945696E-02  1.2555583E-03  7.6108821E-03  1.8924272E-02  8.8977992E-04  7.6025177E-03  2.1424028E-05  3.6577836E-04  8.3644236E-06  2.2077583E-05  3.2376772E-04  6.2910144E-06
       0.900  1.8937591E-02  1.2262804E-03  7.6145292E-03  1.8920219E-02  8.7514096E-04  7.6043412E-03  1.7371271E-05  3.5113941E-04  1.0187984E-05  2.3814710E-05  3.5888166E-04  7.3098128E-06
