        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
       0.000 -1.8199009E-02 -4.0200427E-02 -2.2832712E-04 -1.8287379E-02 -4.0042206E-02 -2.2886340E-04  8.8370104E-05 -1.5822080E-04  5.3628121E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00
       0.100 -1.8108269E-02 -4.0135178E-02 -3.6203222E-04 -1.8242009E-02 -4.0009582E-02 -2.9571595E-04  1.3374006E-04 -1.2559642E-04 -6.6316268E-05  1.3374006E-05 -1.2559642E-05 -6.6316268E-06
       0.200 -1.7976283E-02 -4.0031992E-02 -1.0170671E-04 -1.8176016E-02 -3.9957989E-02 -1.6555320E-04  1.9973291E-04 -7.4003567E-05  6.3846484E-05  3.3347297E-05 -1.9959999E-05 -2.4697838E-07
       0.300 -1.8124520E-02 -3.9882370E-02 -1.7262761E-04 -1.8250134E-02 -3.9883178E-02 -2.0101365E-04  1.2561477E-04  8.0758684E-07  2.8386035E-05  4.5908774E-05 -1.9879240E-05  2.5916251E-06
       0.400 -1.8083559E-02 -4.0141074E-02 -3.1491001E-04 -1.8229654E-02 -4.0012530E-02 -2.7215484E-04  1.4609527E-04 -1.2854456E-04 -4.2755164E-05  6.0518302E-05 -3.2733696E-05 -1.6838913E-06
       0.500 -1.8048482E-02 -4.0094707E-02 -3.0742831E-04 -1.8212116E-02 -3.9989346E-02 -2.6841399E-04  1.6363343E-04 -1.0536071E-04 -3.9014313E-05  7.6881645E-05 -4.3269767E-05 -5.5853225E-06
       0.600 -1.7958449E-02 -3.9900423E-02 -2.4697540E-04 -1.8167099E-02 -3.9892204E-02 -2.3818754E-04  2.0865018E-04 -8.2187528E-06 -8.7878613E-06  9.7746663E-05 -4.4091642E-05 -6.4641086E-06
       0.700 -1.8226125E-02 -3.9978781E-02 -2.5147730E-04 -1.8300937E-02 -3.9931383E-02 -2.4043849E-04  7.4811939E-05 -4.7398099E-05 -1.1038810E-05  1.0522786E-04 -4.8831452E-05 -7.5679896E-06
       0.800 -1.8201779E-02 -4.0112672E-02 -2.8731140E-04 -1.8288764E-02 -3.9998328E-02 -2.5835554E-04  8.6985154E-05 -1.1434329E-04 -2.8955859E-05  1.1392637E-04 -6.0265780E-05 -1.0463576E-05
       0.900 -1.8112853E-02 -3.9960243E-02 -2.6063550E-04 -1.8244301E-02 -3.9922114E-02 -2.4501759E-04  1.3144821E-04 -3.8128932E-05 -1.5617907E-05  1.2707119E-04 -6.4078674E-05 -1.2025366E-05
       1.000 -1.8291195E-02 -4.0118140E-02 -2.8989055E-04 -1.8333472E-02 -4.0001063E-02 -2.5964512E-04  4.2277264E-05 -1.1707748E-04 -3.0245436E-05  1.3129892E-04 -7.5786422E-05 -1.5049910E-05
       1.100 -1.8134028E-02 -4.0109608E-02 -1.4375845E-04 -1.8254889E-02 -3.9996796E-02 -1.8657907E-04  1.2086042E-04 -1.1281126E-04  4.2820615E-05  1.4338496E-04 -8.7067547E-05 -1.0767848E-05
       1.200 -1.8197841E-02 -3.9925997E-02 -3.0334815E-04 -1.8286795E-02 -3.9904991E-02 -2.6637391E-04  8.8954274E-05 -2.1006002E-05 -3.6974234E-05  1.5228039E-04 -8.9168147E-05 -1.4465272E-05
       1.300 -1.8348524E-02 -4.0104427E-02 -2.6935781E-04 -1.8362136E-02 -3.9994206E-02 -2.4937874E-04  1.3612829E-05 -1.1022075E-04 -1.9979062E-05  1.5364167E-04 -1.0019022E-04 -1.6463178E-05
       1.400 -1.8229446E-02 -4.0003035E-02 -2.4692596E-04 -1.8302597E-02 -3.9943510E-02 -2.3816282E-04  7.3151764E-05 -5.9525095E-05 -8.7631412E-06  1.6095685E-04 -1.0614273E-04 -1.7339492E-05
       1.500 -1.8189661E-02 -4.0053083E-02 -1.9606766E-04 -1.8282705E-02 -3.9968534E-02 -2.1273367E-04  9.3044019E-05 -8.4548942E-05  1.6666010E-05  1.7026125E-04 -1.1459763E-04 -1.5672891E-05
       1.600 -1.8304364E-02 -3.9924357E-02 -2.4196116E-04 -1.8340057E-02 -3.9904171E-02 -2.3568042E-04  3.5692644E-05 -2.0185966E-05 -6.2807387E-06  1.7383051E-04 -1.1661622E-04 -1.6300965E-05
