        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
       0.000 -2.9377193E-03 -1.7362656E-03 -8.8142670E-04 -3.0229994E-03 -1.7365711E-03 -8.9287731E-04  8.5280103E-05  3.0547616E-07  1.1450608E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00
       0.100 -2.9417874E-03 -1.7360564E-03 -8.8073335E-04 -3.0250334E-03 -1.7364665E-03 -8.9253063E-04  8.3246024E-05  4.1005068E-07  1.1797284E-05  8.3246024E-06  4.1005068E-08  1.1797284E-06
       0.200 -2.9466493E-03 -1.7379875E-03 -8.7785830E-04 -3.0274644E-03 -1.7374320E-03 -8.9109311E-04  8.0815105E-05 -5.5546080E-07  1.3234805E-05  1.6406113E-05 -1.4541011E-08  2.5032089E-06
       0.300 -2.9538049E-03 -1.7355807E-03 -8.7893362E-04 -3.0310422E-03 -1.7362286E-03 -8.9163077E-04  7.7237306E-05  6.4794373E-07  1.2697148E-05  2.4129843E-05  5.0253361E-08  3.7729237E-06
       0.400 -2.9599543E-03 -1.7347742E-03 -8.7710573E-04 -3.0341169E-03 -1.7358254E-03 -8.9071682E-04  7.4162607E-05  1.0511883E-06  1.3611094E-05  3.1546104E-05  1.5537219E-07  5.1340331E-06
       0.500 -2.9645573E-03 -1.7358680E-03 -8.7808602E-04 -3.0364184E-03 -1.7363723E-03 -8.9120697E-04  7.1861068E-05  5.0425277E-07  1.3120948E-05  3.8732211E-05  2.0579746E-07  6.4461279E-06
       0.600 -2.9695940E-03 -1.7373025E-03 -8.7748575E-04 -3.0389367E-03 -1.7370895E-03 -8.9090683E-04  6.9342728E-05 -2.1296870E-07  1.3421080E-05  4.5666484E-05  1.8450059E-07  7.7882359E-06
       0.700 -2.9723645E-03 -1.7388977E-03 -8.7698830E-04 -3.0403220E-03 -1.7378871E-03 -8.9065811E-04  6.7957491E-05 -1.0106042E-06  1.3669807E-05  5.2462233E-05  8.3440176E-08  9.1552166E-06
       0.800 -2.9790488E-03 -1.7406538E-03 -8.7881801E-04 -3.0436641E-03 -1.7387652E-03 -8.9157296E-04  6.4615322E-05 -1.8886247E-06  1.2754953E-05  5.8923765E-05 -1.0542229E-07  1.0430712E-05
       0.900 -2.9822068E-03 -1.7413110E-03 -8.8129153E-04 -3.0452432E-03 -1.7390938E-03 -8.9280972E-04  6.3036313E-05 -2.2172141E-06  1.1518191E-05  6.5227396E-05 -3.2714370E-07  1.1582531E-05
