        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
       0.000 -1.5442548E-03  4.3655165E-03  6.2859958E-03 -1.5013422E-03  4.3226400E-03  6.2928552E-03 -4.2912688E-05  4.2876480E-05 -6.8594072E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00
       0.100 -1.5291895E-03  4.3672944E-03  6.2920917E-03 -1.4938095E-03  4.3235290E-03  6.2959032E-03 -3.5379995E-05  4.3765426E-05 -3.8114137E-06 -3.5379995E-06  4.3765426E-06 -3.8114137E-07
       0.200 -1.5466606E-03  4.3728025E-03  6.2907976E-03 -1.5025450E-03  4.3262830E-03  6.2952561E-03 -4.4115573E-05  4.6519443E-05 -4.4584918E-06 -7.9495568E-06  9.0284869E-06 -8.2699055E-07
       0.300 -1.5460278E-03  4.3627281E-03  6.2918859E-03 -1.5022286E-03  4.3212458E-03  6.2958003E-03 -4.3799150E-05  4.1482259E-05 -3.9143200E-06 -1.2329472E-05  1.3176713E-05 -1.2184226E-06
       0.400 -1.5707299E-03  4.3743871E-03  6.2767928E-03 -1.5145797E-03  4.3270753E-03  6.2882537E-03 -5.6150228E-05  4.7311745E-05 -1.1460888E-05 -1.7944495E-05  1.7907887E-05 -2.3645114E-06
       0.500 -1.5047085E-03  4.3252486E-03  6.2933072E-03 -1.4815690E-03  4.3025061E-03  6.2965109E-03 -2.3139506E-05  2.2742492E-05 -3.2036864E-06 -2.0258445E-05  2.0182137E-05 -2.6848800E-06
       0.600 -1.5259288E-03  4.3756501E-03  6.2970071E-03 -1.4921792E-03  4.3277068E-03  6.2983608E-03 -3.3749683E-05  4.7943278E-05 -1.3537246E-06 -2.3633414E-05  2.4976464E-05 -2.8202525E-06
       0.700 -1.5018317E-03  4.3356077E-03  6.2981335E-03 -1.4801306E-03  4.3076856E-03  6.2989241E-03 -2.1701121E-05  2.7922064E-05 -7.9051283E-07 -2.5803526E-05  2.7768671E-05 -2.8993038E-06
       0.800 -1.4994219E-03  4.3164085E-03  6.2948153E-03 -1.4789257E-03  4.2980860E-03  6.2972650E-03 -2.0496208E-05  1.8322451E-05 -2.4496210E-06 -2.7853146E-05  2.9600916E-05 -3.1442659E-06
       0.900 -1.5145365E-03  4.3164632E-03  6.2947215E-03 -1.4864830E-03  4.2981134E-03  6.2972180E-03 -2.8053496E-05  1.8349837E-05 -2.4965392E-06 -3.0658496E-05  3.1435900E-05 -3.3939198E-06
       1.000 -1.5246853E-03  4.3480242E-03  6.3010311E-03 -1.4915574E-03  4.3138939E-03  6.3003729E-03 -3.3127901E-05  3.4130324E-05  6.5828259E-07 -3.3971286E-05  3.4848932E-05 -3.3280915E-06
       1.100 -1.4947988E-03  4.3260353E-03  6.3004649E-03 -1.4766141E-03  4.3028994E-03  6.3000897E-03 -1.8184648E-05  2.3135870E-05  3.7516739E-07 -3.5789751E-05  3.7162519E-05 -3.2905748E-06
       1.200 -1.4939407E-03  4.3395261E-03  6.2964366E-03 -1.4761851E-03  4.3096448E-03  6.2980756E-03 -1.7755596E-05  2.9881256E-05 -1.6389708E-06 -3.7565311E-05  4.0150645E-05 -3.4544719E-06
       1.300 -1.4972348E-03  4.3317775E-03  6.2975493E-03 -1.4778321E-03  4.3057705E-03  6.2986319E-03 -1.9402673E-05  2.6006953E-05 -1.0826290E-06 -3.9505578E-05  4.2751340E-05 -3.5627348E-06
       1.400 -1.4950020E-03  4.3241116E-03  6.2936095E-03 -1.4767157E-03  4.3019376E-03  6.2966620E-03 -1.8286261E-05  2.2173999E-05 -3.0525372E-06 -4.1334204E-05  4.4968740E-05 -3.8679885E-06
       1.500 -1.5254446E-03  4.3482781E-03  6.2868154E-03 -1.4919370E-03  4.3140209E-03  6.2932650E-03 -3.3507539E-05  3.4257285E-05 -6.4495954E-06 -4.4684958E-05  4.8394468E-05 -4.5129480E-06
       1.600 -1.4950441E-03  4.3220721E-03  6.3011543E-03 -1.4767368E-03  4.3009178E-03  6.3004344E-03 -1.8307316E-05  2.1154272E-05  7.1986641E-07 -4.6515689E-05  5.0509895E-05 -4.4409614E-06
       1.700 -1.5014337E-03  4.3192373E-03  6.3001070E-03 -1.4799316E-03  4.2995005E-03  6.2999108E-03 -2.1502094E-05  1.9736890E-05  1.9620822E-07 -4.8665899E-05  5.2483584E-05 -4.4213406E-06
       1.800 -1.4887828E-03  4.3114351E-03  6.2955037E-03 -1.4736061E-03  4.2955994E-03  6.2976092E-03 -1.5176671E-05  1.5835786E-05 -2.1054212E-06 -5.0183566E-05  5.4067163E-05 -4.6318827E-06
       1.900 -1.4655072E-03  4.3025463E-03  6.2963221E-03 -1.4619683E-03  4.2911549E-03  6.2980183E-03 -3.5388491E-06  1.1391371E-05 -1.6962294E-06 -5.0537451E-05  5.5206300E-05 -4.8015056E-06
       2.000 -1.5132041E-03  4.3344217E-03  6.2954086E-03 -1.4858168E-03  4.3070927E-03  6.2975616E-03 -2.7387317E-05  2.7329087E-05 -2.1530076E-06 -5.3276183E-05  5.7939209E-05 -5.0168064E-06
       2.100 -1.5062769E-03  4.3311700E-03  6.2981864E-03 -1.4823532E-03  4.3054668E-03  6.2989505E-03 -2.3923714E-05  2.5703203E-05 -7.6407577E-07 -5.5668554E-05  6.0509529E-05 -5.0932140E-06
       2.200 -1.4919520E-03  4.3039201E-03  6.2965202E-03 -1.4751907E-03  4.2918418E-03  6.2981174E-03 -1.6761242E-05  1.2078280E-05 -1.5971840E-06 -5.7344678E-05  6.1717357E-05 -5.2529324E-06
       2.300 -1.4912714E-03  4.2918095E-03  6.2965817E-03 -1.4748504E-03  4.2857865E-03  6.2981482E-03 -1.6420957E-05  6.0229421E-06 -1.5664122E-06 -5.8986774E-05  6.2319651E-05 -5.4095736E-06
