        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
       0.000  1.8956739E-04  7.3231092E-03  4.3256216E-04  1.4957552E-04  7.3177567E-03  4.3611239E-04  3.9991868E-05  5.3525129E-06 -3.5502315E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00
       0.100  1.8650914E-04  7.3119157E-03  4.2384674E-04  1.4804640E-04  7.3121599E-03  4.3175468E-04  3.8462742E-05 -2.4423495E-07 -7.9079382E-06  3.8462742E-06 -2.4423495E-08 -7.9079382E-07
       0.200  1.9112776E-04  7.3185029E-03  4.1607173E-04  1.5035571E-04  7.3154535E-03  4.2786717E-04  4.0772055E-05  3.0493572E-06 -1.1795445E-05  7.9234797E-06  2.8051223E-07 -1.9703383E-06
       0.300  1.7531565E-04  7.3174767E-03  4.2262293E-04  1.4244965E-04  7.3149404E-03  4.3114277E-04  3.2865998E-05  2.5362394E-06 -8.5198446E-06  1.1210079E-05  5.3413617E-07 -2.8223228E-06
       0.400  1.8335053E-04  7.3167089E-03  4.2659546E-04  1.4646709E-04  7.3145566E-03  4.3312904E-04  3.6883440E-05  2.1523716E-06 -6.5335813E-06  1.4898424E-05  7.4937333E-07 -3.4756809E-06
       0.500  1.8611336E-04  7.3119467E-03  4.2044804E-04  1.4784851E-04  7.3121754E-03  4.3005533E-04  3.8264853E-05 -2.2874624E-07 -9.6072880E-06  1.8724909E-05  7.2649870E-07 -4.4364097E-06
       0.600  1.8474167E-04  7.3148711E-03  4.2554733E-04  1.4716266E-04  7.3136377E-03  4.3260497E-04  3.7579005E-05  1.2334759E-06 -7.0576447E-06  2.2482809E-05  8.4984630E-07 -5.1421742E-06
       0.700  1.7563509E-04  7.3106265E-03  4.1857868E-04  1.4260937E-04  7.3115153E-03  4.2912065E-04  3.3025718E-05 -8.8886189E-07 -1.0541971E-05  2.5785381E-05  7.6096011E-07 -6.1963713E-06
       0.800  1.6953100E-04  7.3196550E-03  4.1380690E-04  1.3955732E-04  7.3160296E-03  4.2673476E-04  2.9973671E-05  3.6254103E-06 -1.2927858E-05  2.8782748E-05  1.1235011E-06 -7.4891571E-06
       0.900  1.7306232E-04  7.3019614E-03  4.0915863E-04  1.4132299E-04  7.3071828E-03  4.2441062E-04  3.1739333E-05 -5.2213675E-06 -1.5251995E-05  3.1956682E-05  6.0136438E-07 -9.0143566E-06
       1.000  1.6153169E-04  7.3098569E-03  4.1695112E-04  1.3555767E-04  7.3111305E-03  4.2830687E-04  2.5974016E-05 -1.2736454E-06 -1.1355748E-05  3.4554083E-05  4.7399984E-07 -1.0149931E-05
