        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
       0.000 -1.5171783E-02  6.1866681E-03 -1.9363138E-03 -1.5204427E-02  6.1630255E-03 -1.9608507E-03  3.2643659E-05  2.3642553E-05  2.4536952E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00
       0.100 -1.5168043E-02  6.1781950E-03 -1.9338077E-03 -1.5202557E-02  6.1587890E-03 -1.9595977E-03  3.4513795E-05  1.9406035E-05  2.5789993E-05  3.4513795E-06  1.9406035E-06  2.5789993E-06
       0.200 -1.5165724E-02  6.1883593E-03 -1.9399829E-03 -1.5201397E-02  6.1638711E-03 -1.9626853E-03  3.5673465E-05  2.4488154E-05  2.2702404E-05  7.0187260E-06  4.3894189E-06  4.8492397E-06
       0.300 -1.5172737E-02  6.1828743E-03 -1.9386338E-03 -1.5204904E-02  6.1611286E-03 -1.9620107E-03  3.2166661E-05  2.1745657E-05  2.3376935E-05  1.0235392E-05  6.5639846E-06  7.1869332E-06
       0.400 -1.5179413E-02  6.1826763E-03 -1.9517673E-03 -1.5208242E-02  6.1610296E-03 -1.9685775E-03  2.8828596E-05  2.1646649E-05  1.6810186E-05  1.3118252E-05  8.7286495E-06  8.8679518E-06
       0.500 -1.5170807E-02  6.1845050E-03 -1.9448906E-03 -1.5203939E-02  6.1619440E-03 -1.9651391E-03  3.3131847E-05  2.2561042E-05  2.0248537E-05  1.6431436E-05  1.0984754E-05  1.0892805E-05
       0.600 -1.5181581E-02  6.1835969E-03 -1.9569108E-03 -1.5209326E-02  6.1614899E-03 -1.9711492E-03  2.7745061E-05  2.2106974E-05  1.4238448E-05  1.9205943E-05  1.3195451E-05  1.2316650E-05
       0.700 -1.5184418E-02  6.1684812E-03 -1.9537134E-03 -1.5210745E-02  6.1539321E-03 -1.9695505E-03  2.6326087E-05  1.4549105E-05  1.5837159E-05  2.1838551E-05  1.4650362E-05  1.3900366E-05
       0.800 -1.5182021E-02  6.1780206E-03 -1.9562965E-03 -1.5209546E-02  6.1587018E-03 -1.9708421E-03  2.7524976E-05  1.9318818E-05  1.4545590E-05  2.4591049E-05  1.6582243E-05  1.5354925E-05
       0.900 -1.5188893E-02  6.1788058E-03 -1.9523640E-03 -1.5212982E-02  6.1590944E-03 -1.9688758E-03  2.4088752E-05  1.9711420E-05  1.6511841E-05  2.6999924E-05  1.8553385E-05  1.7006109E-05
